Transaction_ID,Client_ID,Product_ID,Quantity,Transaction
1,282,102,1,00:00:00 01/01/2010
2,8,161,4,00:24:12 01/01/2010
3,730,603,3,02:01:25 01/01/2010
4,861,512,9,03:20:45 01/01/2010
5,123,21,7,05:35:18 01/01/2010
6,932,865,7,05:47:54 01/01/2010
7,513,107,7,07:33:06 01/01/2010
8,740,370,2,09:40:54 01/01/2010
9,407,681,7,10:45:10 01/01/2010
10,416,322,1,12:21:35 01/01/2010
11,776,889,9,12:49:10 01/01/2010
12,278,994,2,15:27:08 01/01/2010
13,757,95,1,15:41:39 01/01/2010
14,906,365,9,17:49:55 01/01/2010
15,994,573,4,19:04:35 01/01/2010
16,131,657,5,20:39:34 01/01/2010
17,391,273,9,21:06:42 01/01/2010
18,192,214,4,22:19:09 01/01/2010
19,155,890,10,22:56:55 01/01/2010
20,976,761,9,00:32:49 01/02/2010
21,278,728,7,02:28:08 01/02/2010
22,354,32,8,03:59:12 01/02/2010
23,190,340,2,05:24:41 01/02/2010
24,968,137,7,07:27:31 01/02/2010
25,917,77,9,09:42:58 01/02/2010
26,399,747,3,10:50:21 01/02/2010
27,345,487,5,12:06:46 01/02/2010
28,485,479,3,14:07:44 01/02/2010
29,517,107,7,16:32:51 01/02/2010
30,167,378,4,16:41:02 01/02/2010
31,423,571,7,18:36:36 01/02/2010
32,20,312,1,19:17:50 01/02/2010
33,709,790,6,21:18:27 01/02/2010
34,981,344,9,23:20:42 01/02/2010
35,683,421,9,00:27:24 01/03/2010
36,666,660,5,03:04:48 01/03/2010
37,722,165,4,03:53:12 01/03/2010
38,407,407,1,04:55:48 01/03/2010
39,236,516,4,07:18:08 01/03/2010
40,977,948,6,07:25:47 01/03/2010
41,52,293,6,09:22:54 01/03/2010
42,184,265,8,09:23:42 01/03/2010
43,511,18,10,10:55:50 01/03/2010
44,469,566,10,13:20:21 01/03/2010
45,689,435,5,13:52:29 01/03/2010
46,313,108,9,15:22:09 01/03/2010
47,225,717,3,15:28:20 01/03/2010
48,871,615,4,15:45:18 01/03/2010
49,277,813,9,17:17:25 01/03/2010
50,859,466,5,19:27:49 01/03/2010
51,121,408,3,20:11:58 01/03/2010
52,373,414,3,21:39:18 01/03/2010
53,536,834,6,21:52:19 01/03/2010
54,462,137,7,23:09:47 01/03/2010
55,287,777,1,01:15:44 01/04/2010
56,82,674,8,02:55:37 01/04/2010
57,196,166,7,04:55:24 01/04/2010
58,610,144,7,07:28:00 01/04/2010
59,260,902,5,08:47:06 01/04/2010
60,663,49,3,10:01:18 01/04/2010
61,983,625,6,12:38:31 01/04/2010
62,518,857,1,14:17:27 01/04/2010
63,606,851,1,16:18:41 01/04/2010
64,790,633,3,17:20:45 01/04/2010
65,298,294,1,18:17:56 01/04/2010
66,934,960,10,18:19:47 01/04/2010
67,326,647,4,20:49:40 01/04/2010
68,800,971,7,22:45:42 01/04/2010
69,114,929,6,23:53:45 01/04/2010
70,465,273,9,00:41:25 01/05/2010
71,498,283,5,00:55:55 01/05/2010
72,876,37,7,02:52:36 01/05/2010
73,471,93,8,04:53:59 01/05/2010
74,580,171,9,05:31:23 01/05/2010
75,402,927,8,06:23:53 01/05/2010
76,507,463,5,08:40:00 01/05/2010
77,553,334,1,11:03:32 01/05/2010
78,349,923,6,13:17:05 01/05/2010
79,430,40,10,13:38:06 01/05/2010
80,33,949,2,13:49:12 01/05/2010
81,527,703,2,15:01:01 01/05/2010
82,736,180,4,16:44:36 01/05/2010
83,544,319,6,17:05:56 01/05/2010
84,605,631,9,17:30:35 01/05/2010
85,188,593,10,17:52:28 01/05/2010
86,518,416,10,20:14:11 01/05/2010
87,531,751,7,20:59:27 01/05/2010
88,476,769,9,21:41:23 01/05/2010
89,649,67,6,23:55:02 01/05/2010
90,105,292,4,01:36:44 01/06/2010
91,566,556,9,03:53:57 01/06/2010
92,334,446,5,04:34:28 01/06/2010
93,990,140,8,05:11:00 01/06/2010
94,880,731,6,07:39:31 01/06/2010
95,515,599,10,10:11:11 01/06/2010
96,69,782,4,11:47:59 01/06/2010
97,359,628,10,12:14:31 01/06/2010
98,361,775,7,14:20:00 01/06/2010
99,703,476,9,16:13:58 01/06/2010
100,817,579,1,17:33:02 01/06/2010
101,786,927,6,19:52:37 01/06/2010
102,899,109,6,19:58:09 01/06/2010
103,860,901,7,22:43:01 01/06/2010
104,334,757,1,00:35:53 01/07/2010
105,534,158,7,02:12:31 01/07/2010
106,339,518,6,04:01:09 01/07/2010
107,89,609,6,05:47:22 01/07/2010
108,819,261,10,07:47:18 01/07/2010
109,166,487,3,08:14:44 01/07/2010
110,134,37,1,09:51:55 01/07/2010
111,630,682,7,10:29:52 01/07/2010
112,303,628,1,11:52:45 01/07/2010
113,843,611,10,14:15:14 01/07/2010
114,836,888,1,15:14:47 01/07/2010
115,938,913,8,17:49:50 01/07/2010
116,645,69,9,20:27:00 01/07/2010
117,950,224,5,21:30:23 01/07/2010
118,811,100,6,22:28:56 01/07/2010
119,994,581,3,01:12:38 01/08/2010
120,121,726,4,03:29:32 01/08/2010
121,833,377,8,05:57:58 01/08/2010
122,883,204,2,07:37:44 01/08/2010
123,537,419,10,10:11:02 01/08/2010
124,808,805,7,10:34:02 01/08/2010
125,334,187,7,12:11:10 01/08/2010
126,66,190,7,13:26:29 01/08/2010
127,299,220,7,15:50:27 01/08/2010
128,866,480,8,17:35:42 01/08/2010
129,964,48,4,17:55:24 01/08/2010
130,556,992,10,18:47:32 01/08/2010
131,791,210,6,19:29:58 01/08/2010
132,993,344,6,20:18:34 01/08/2010
133,218,221,7,21:40:06 01/08/2010
134,364,716,6,22:36:59 01/08/2010
135,265,114,5,00:55:51 01/09/2010
136,426,921,6,01:56:49 01/09/2010
137,723,709,2,03:03:50 01/09/2010
138,905,922,2,03:34:19 01/09/2010
139,330,489,7,05:30:58 01/09/2010
140,273,365,3,06:44:39 01/09/2010
141,504,257,2,09:22:59 01/09/2010
142,84,705,1,11:26:00 01/09/2010
143,977,942,8,13:09:30 01/09/2010
144,881,737,3,14:49:35 01/09/2010
145,561,8,10,14:58:27 01/09/2010
146,970,570,1,16:43:33 01/09/2010
147,321,74,10,16:54:37 01/09/2010
148,57,168,9,17:01:26 01/09/2010
149,970,107,10,18:53:31 01/09/2010
150,333,825,7,20:34:56 01/09/2010
151,360,11,7,23:14:35 01/09/2010
152,854,3,1,01:03:30 01/10/2010
153,121,666,6,03:24:27 01/10/2010
154,779,564,4,04:00:38 01/10/2010
155,672,557,6,05:40:43 01/10/2010
156,214,59,10,07:23:49 01/10/2010
157,701,511,3,08:50:18 01/10/2010
158,6,315,9,10:52:36 01/10/2010
159,144,17,2,11:28:09 01/10/2010
160,108,580,10,13:53:19 01/10/2010
161,297,406,2,14:01:13 01/10/2010
162,349,775,9,16:43:06 01/10/2010
163,367,991,9,19:18:54 01/10/2010
164,858,491,10,21:01:08 01/10/2010
165,858,42,7,21:13:51 01/10/2010
166,54,709,5,22:03:59 01/10/2010
167,303,51,1,22:43:04 01/10/2010
168,815,631,5,00:36:38 01/11/2010
169,828,225,3,03:03:39 01/11/2010
170,545,154,5,03:36:31 01/11/2010
171,352,457,10,04:12:18 01/11/2010
172,966,387,2,06:43:37 01/11/2010
173,266,893,3,07:14:59 01/11/2010
174,903,990,9,08:51:45 01/11/2010
175,666,115,10,10:35:10 01/11/2010
176,647,312,4,12:02:46 01/11/2010
177,174,139,8,12:04:38 01/11/2010
178,347,412,5,13:39:22 01/11/2010
179,291,844,4,14:44:39 01/11/2010
180,136,120,7,16:36:57 01/11/2010
181,969,550,5,17:29:53 01/11/2010
182,125,576,2,18:44:02 01/11/2010
183,3,44,8,21:15:29 01/11/2010
184,927,720,6,23:03:41 01/11/2010
185,384,93,10,01:14:58 01/12/2010
186,463,871,1,02:26:56 01/12/2010
187,717,650,7,02:28:16 01/12/2010
188,773,745,4,02:59:55 01/12/2010
189,285,375,7,03:06:47 01/12/2010
190,619,893,6,05:22:58 01/12/2010
191,220,614,6,05:42:25 01/12/2010
192,14,211,10,05:55:12 01/12/2010
193,338,71,2,06:17:21 01/12/2010
194,561,786,7,06:42:38 01/12/2010
195,933,477,1,09:13:25 01/12/2010
196,64,233,2,11:11:55 01/12/2010
197,861,214,9,13:21:17 01/12/2010
198,848,133,5,15:07:33 01/12/2010
199,8,90,7,15:30:37 01/12/2010
200,755,592,10,16:25:08 01/12/2010
201,19,715,2,16:56:11 01/12/2010
202,436,842,2,17:36:49 01/12/2010
203,481,486,10,20:17:29 01/12/2010
204,815,311,6,22:06:12 01/12/2010
205,441,370,5,00:46:29 01/13/2010
206,749,321,8,01:31:32 01/13/2010
207,509,831,2,02:49:00 01/13/2010
208,900,897,6,03:52:35 01/13/2010
209,108,378,2,06:13:27 01/13/2010
210,382,486,1,06:20:51 01/13/2010
211,903,631,6,06:57:40 01/13/2010
212,267,141,6,08:33:36 01/13/2010
213,791,167,1,08:45:09 01/13/2010
214,236,853,1,09:12:22 01/13/2010
215,907,351,5,10:07:57 01/13/2010
216,846,198,9,11:11:40 01/13/2010
217,667,829,1,11:11:40 01/13/2010
218,260,783,1,11:35:23 01/13/2010
219,95,154,8,12:28:38 01/13/2010
220,586,157,9,13:35:20 01/13/2010
221,182,83,9,14:59:54 01/13/2010
222,991,505,2,15:46:23 01/13/2010
223,215,127,1,16:30:02 01/13/2010
224,841,644,4,18:21:22 01/13/2010
225,657,234,9,20:20:41 01/13/2010
226,302,810,1,20:57:09 01/13/2010
227,269,53,8,21:43:05 01/13/2010
228,259,307,2,00:10:32 01/14/2010
229,94,369,10,01:23:10 01/14/2010
230,947,499,7,02:13:22 01/14/2010
231,2,320,8,03:49:02 01/14/2010
232,34,274,5,04:13:17 01/14/2010
233,394,738,3,04:28:47 01/14/2010
234,719,108,7,05:46:07 01/14/2010
235,585,558,8,06:10:24 01/14/2010
236,184,925,4,07:02:12 01/14/2010
237,414,434,1,08:31:27 01/14/2010
238,503,42,7,09:41:07 01/14/2010
239,852,335,7,10:09:12 01/14/2010
240,284,152,1,10:18:12 01/14/2010
241,572,522,10,10:45:40 01/14/2010
242,311,644,5,11:30:44 01/14/2010
243,256,613,6,12:14:50 01/14/2010
244,574,502,10,13:12:02 01/14/2010
245,787,400,9,15:06:46 01/14/2010
246,415,654,7,15:47:15 01/14/2010
247,627,882,8,16:54:59 01/14/2010
248,109,530,4,19:29:35 01/14/2010
249,688,511,9,21:32:03 01/14/2010
250,190,800,10,22:11:57 01/14/2010
251,930,948,10,22:59:30 01/14/2010
252,877,186,6,00:00:37 01/15/2010
253,133,762,3,00:28:51 01/15/2010
254,937,485,8,02:02:17 01/15/2010
255,52,875,4,03:57:59 01/15/2010
256,55,296,4,05:46:49 01/15/2010
257,221,303,8,06:49:15 01/15/2010
258,724,804,8,08:29:57 01/15/2010
259,300,401,6,09:04:11 01/15/2010
260,218,547,6,11:24:56 01/15/2010
261,159,416,4,12:32:06 01/15/2010
262,359,393,2,13:35:18 01/15/2010
263,52,954,1,13:42:18 01/15/2010
264,597,831,2,13:56:54 01/15/2010
265,216,267,10,16:23:41 01/15/2010
266,520,379,1,19:03:41 01/15/2010
267,642,308,5,20:31:19 01/15/2010
268,562,356,1,21:07:02 01/15/2010
269,585,729,2,22:23:26 01/15/2010
270,982,139,7,22:37:27 01/15/2010
271,3,745,9,01:12:59 01/16/2010
272,529,752,2,02:50:51 01/16/2010
273,262,595,5,03:07:54 01/16/2010
274,68,909,1,04:48:09 01/16/2010
275,557,125,9,06:29:08 01/16/2010
276,920,124,2,07:45:14 01/16/2010
277,899,93,3,10:23:57 01/16/2010
278,646,203,4,10:28:30 01/16/2010
279,588,296,5,12:18:21 01/16/2010
280,793,696,2,13:24:05 01/16/2010
281,466,920,2,15:53:09 01/16/2010
282,443,494,9,17:25:29 01/16/2010
283,805,172,5,20:09:32 01/16/2010
284,430,696,7,20:49:53 01/16/2010
285,708,466,9,21:48:40 01/16/2010
286,638,847,9,22:32:52 01/16/2010
287,412,985,5,22:37:31 01/16/2010
288,469,110,1,00:19:24 01/17/2010
289,609,224,7,01:17:49 01/17/2010
290,228,463,2,01:27:22 01/17/2010
291,154,12,3,01:41:50 01/17/2010
292,729,502,1,02:42:42 01/17/2010
293,542,569,1,03:59:28 01/17/2010
294,368,710,9,04:33:53 01/17/2010
295,311,914,10,06:36:07 01/17/2010
296,291,344,8,07:02:47 01/17/2010
297,88,387,8,07:46:27 01/17/2010
298,761,417,7,08:15:55 01/17/2010
299,412,357,9,09:21:28 01/17/2010
300,89,505,10,11:17:52 01/17/2010
301,932,313,2,11:51:26 01/17/2010
302,361,222,7,14:28:54 01/17/2010
303,861,255,2,16:07:12 01/17/2010
304,581,355,5,17:19:53 01/17/2010
305,261,133,3,19:55:25 01/17/2010
306,110,851,8,20:36:32 01/17/2010
307,912,19,5,20:40:59 01/17/2010
308,362,353,9,21:29:45 01/17/2010
309,710,190,8,22:00:47 01/17/2010
310,522,940,7,22:29:27 01/17/2010
311,269,90,6,00:32:08 01/18/2010
312,681,173,1,03:00:51 01/18/2010
313,515,82,8,05:38:48 01/18/2010
314,695,509,9,08:11:22 01/18/2010
315,77,669,7,09:54:04 01/18/2010
316,758,81,8,12:03:18 01/18/2010
317,902,257,7,13:51:57 01/18/2010
318,724,529,4,16:29:16 01/18/2010
319,998,342,10,19:06:20 01/18/2010
320,982,782,8,21:42:46 01/18/2010
321,86,912,9,23:39:57 01/18/2010
322,354,212,2,00:15:46 01/19/2010
323,366,703,7,01:16:40 01/19/2010
324,33,413,6,03:57:39 01/19/2010
325,343,782,8,06:10:05 01/19/2010
326,245,848,5,08:08:36 01/19/2010
327,325,788,2,09:33:48 01/19/2010
328,40,786,4,10:08:17 01/19/2010
329,188,724,1,10:34:56 01/19/2010
330,994,538,8,11:48:22 01/19/2010
331,581,833,10,13:30:52 01/19/2010
332,182,851,9,15:12:19 01/19/2010
333,894,437,7,17:13:17 01/19/2010
334,769,556,1,17:34:35 01/19/2010
335,839,248,6,20:19:01 01/19/2010
336,727,459,3,22:08:34 01/19/2010
337,982,586,5,23:57:39 01/19/2010
338,264,704,4,02:37:29 01/20/2010
339,507,90,2,03:58:47 01/20/2010
340,325,405,10,05:21:49 01/20/2010
341,564,125,9,05:57:57 01/20/2010
342,761,869,9,07:37:16 01/20/2010
343,901,540,8,08:45:11 01/20/2010
344,7,747,1,11:06:58 01/20/2010
345,498,84,6,12:12:00 01/20/2010
346,959,809,1,12:56:28 01/20/2010
347,769,825,1,12:58:26 01/20/2010
348,467,522,3,14:50:37 01/20/2010
349,52,649,7,15:19:52 01/20/2010
350,899,899,9,17:10:18 01/20/2010
351,522,987,10,18:32:46 01/20/2010
352,220,957,7,21:09:08 01/20/2010
353,456,119,4,22:51:49 01/20/2010
354,873,186,6,22:54:47 01/20/2010
355,738,752,8,00:39:15 01/21/2010
356,624,397,5,02:35:54 01/21/2010
357,419,93,5,02:54:26 01/21/2010
358,894,780,9,04:44:12 01/21/2010
359,248,304,3,06:44:30 01/21/2010
360,386,825,1,06:54:49 01/21/2010
361,101,408,8,07:03:02 01/21/2010
362,184,90,8,09:30:16 01/21/2010
363,277,299,2,09:52:36 01/21/2010
364,18,981,3,12:18:26 01/21/2010
365,435,316,8,14:04:58 01/21/2010
366,134,593,1,15:40:55 01/21/2010
367,462,311,7,15:42:58 01/21/2010
368,962,847,8,18:02:39 01/21/2010
369,372,678,9,18:25:38 01/21/2010
370,447,183,9,20:52:04 01/21/2010
371,405,609,10,21:06:30 01/21/2010
372,524,837,5,23:43:24 01/21/2010
373,644,900,7,00:22:09 01/22/2010
374,739,584,3,00:51:18 01/22/2010
375,933,37,10,01:00:49 01/22/2010
376,638,896,6,03:07:02 01/22/2010
377,279,762,8,04:58:35 01/22/2010
378,509,47,5,06:32:10 01/22/2010
379,113,522,10,08:34:29 01/22/2010
380,449,307,5,10:12:18 01/22/2010
381,427,523,10,12:19:37 01/22/2010
382,588,876,6,12:37:59 01/22/2010
383,948,175,6,14:12:54 01/22/2010
384,598,576,1,16:46:47 01/22/2010
385,508,203,1,17:10:10 01/22/2010
386,472,903,5,19:39:29 01/22/2010
387,402,594,3,21:13:14 01/22/2010
388,162,730,3,22:56:27 01/22/2010
389,483,100,4,00:26:20 01/23/2010
390,403,363,6,03:00:26 01/23/2010
391,101,946,1,04:17:37 01/23/2010
392,301,984,5,05:23:53 01/23/2010
393,691,17,10,08:02:11 01/23/2010
394,161,901,2,09:39:11 01/23/2010
395,187,16,1,11:13:11 01/23/2010
396,488,685,6,12:03:12 01/23/2010
397,387,521,9,14:03:34 01/23/2010
398,722,254,9,14:47:19 01/23/2010
399,352,995,10,16:08:16 01/23/2010
400,514,455,5,18:42:25 01/23/2010
401,984,410,8,20:42:07 01/23/2010
402,906,632,7,21:45:25 01/23/2010
403,225,24,2,23:58:01 01/23/2010
404,644,44,2,01:22:16 01/24/2010
405,455,740,8,02:54:57 01/24/2010
406,686,519,8,05:24:02 01/24/2010
407,375,476,9,06:46:43 01/24/2010
408,361,434,6,09:21:41 01/24/2010
409,421,757,3,09:32:38 01/24/2010
410,749,661,6,11:34:09 01/24/2010
411,378,369,7,11:48:59 01/24/2010
412,739,939,8,12:48:55 01/24/2010
413,385,192,1,15:05:41 01/24/2010
414,907,522,7,15:15:12 01/24/2010
415,831,388,1,16:33:11 01/24/2010
416,628,547,2,17:06:59 01/24/2010
417,644,304,4,18:50:16 01/24/2010
418,599,110,9,20:34:01 01/24/2010
419,404,490,2,21:48:04 01/24/2010
420,683,280,3,22:08:10 01/24/2010
421,249,421,4,23:57:27 01/24/2010
422,473,464,1,02:43:30 01/25/2010
423,647,235,8,05:13:57 01/25/2010
424,579,186,1,05:59:45 01/25/2010
425,727,246,4,07:47:12 01/25/2010
426,541,128,7,08:34:22 01/25/2010
427,543,307,10,08:37:02 01/25/2010
